Date,Type,Lesson,Recording Link,Password
"April 26, 2023","CSS, HTML, JavaScript, Unit4",React Props + Dashboard Refactor,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/3FC87O0ZJFSQdLcnnSeLNofXn6DEhUNBmf_AtM_M8sNkZ9UPXVgMMkwYT0RtqHKW.gea_upM-nhMHzATX__;!!GgcXpDZ2N9l6uyZJ!m93ZraE8r48_uGjhrLqNj9SQsG87de6JHwxUVMdGZdKwVdjOvXv_gFoajRHxSWBmDFh2S1OjRXiAc8SO1AXGJUA85xM$,7Yg2cHB%
"April 25, 2023","CLI, CSS, HTML, JavaScript, Unit4",React Intro + Components,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/27uW-Bu8LltG-WYNz2tOvJqswI8Oy6FOK_HMI6TBhsn7lJIsDPrx2IDqBfTgZ3FD.a_CJHwAT67vJsc3f__;!!GgcXpDZ2N9l6uyZJ!h-sfN7bdN943I6UFESMsr6EJVA9N41tkRFR8K3zU60_CJbAo4RHBSEa8AkPIOz1EmBb1atuDBghRBvsu5hZ_X_fGBy8$,m!24geUk
"April 25, 2023","Project Presentations, Unit3",Unit 3 Django Presentations,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/TSd5JwuUYeoJ4nLhsp5U8DRZo4CUoBjaC_RgAAN5rUWRSXEBNOBtFHHPV2vFQ13k.Hg6-oUlgLeI3x3lI__;!!GgcXpDZ2N9l6uyZJ!iowX3nor6L-DpYzvf99pW6mIzdlDN5TiYQr9StGRiq-_bTOsdpRueoxy8jeC3R15N1cO6sowhkhb5v3o0o3wdEpPYkY$,p=06o1^G
"April 19, 2023","CLI, Deployment, Unit3",Django / Heroku Deployment,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Nzoxmi1XFe71UUDES_MeHyV31E5hNmQmuFntgh2fCNdoKYtv3EYDSk-7V31VkiBQ.XNYrA-JBQwc7dWXu__;!!GgcXpDZ2N9l6uyZJ!gynXEKWrSPkYnVkVHxCOhJhzNfMGvfS7t8GxDBfjHdIlCmcbChfaFOxXw5JAw0hQjr9oIROskCmgFHB4UHkCzpVtK8I$,U%i7cS0&
"April 17, 2023","Additional Lessons, Computer Science Topics, Python, Unit2",Linked Lists + Django AWS / Authentication,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/l3qtMkxNIUGeTTzDWTMt7E_4fiLl-7hfbxz3fepJ8eVZRdlJktg2Im6M0cOpJTd9.gbo1iHPF6jH_E2mU__;!!GgcXpDZ2N9l6uyZJ!nT_Kgm5CdXKLVCcfUuBEo2TZZ2XFZLJphqxvEGzLLo_X7cssagC8bvB4dq3CBzbR0Dwzdyh2ZOG_vo0ryAkVvOYeNL4$,82=0HLvi
"April 14, 2023","CLI, Computer Science Topics, Python, Unit3",Linked List Intro + Django M:N,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/1VI-S6I97mpDQR8fValY4Wtrz0AKd-Zcw8W5twZbY6QLD-nMU64FJLBZ2NLHlZH5.JwLL4AbkKxQWAV5o__;!!GgcXpDZ2N9l6uyZJ!nVkaSGjhNVK9UeJL6t7jmSjigfDE3l2h2aIlLUmHlJND1l428VO0kyBsbtxfp_3rnB1Fsy9PMyPkDqKhNCt7eHWRCLM$,az?Qbm5^
"April 13, 2023","CLI, Python, Unit3",Django CBV + 1:M model associations,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/GtzCP7zmlLcXJ4p09oY4W4xz-Hloo8iDloSSbD10rgo74ko-XvE1Fmq1SYpvg32T.jyiBJMt5ilOQm11T__;!!GgcXpDZ2N9l6uyZJ!h7qWl4kbBBe_RuWjTj_4EQQB36RLAXbc3NI_JiyhmEJGzDviKQ2d9aQwZkpH3U9bDQDUp_OwxFtcCONxiMBC1-_Ulho$,?2B+XfS7
"April 12, 2023","CSS, Python, Unit3","FE Challenge + Django Models ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/QbGR_dHGr8HFMMMiQTrL8SnThbiqv-F-7_yUa7jjxPZ0e4HXvsHyqwiY3iB5qiFW.t8BvU7TCVKghjFOk__;!!GgcXpDZ2N9l6uyZJ!jZ0xB0EDpMKDdjUt4lAnUb0lyEFD9hR7SjU8oHHAkDV6gb6JBBrck5J77p-ZS0CFagzh1lYxwkwBCL_caZKbwIAXI-c$,R?UKNk3C
"April 11, 2023","Computer Science Topics, Python, Unit3",Stacks + Queues / Django Intro,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/xu3UrU2sxznJXrvuSgh57nbxLnq_jRK53OAeMS7bz5mQ_MQsGeL-JAvnl1VUZ31H.rD8DvpnB-qe4muFS__;!!GgcXpDZ2N9l6uyZJ!igzu7zZ85sVrAFuEouJXSD6u5FGDKezEtUgW-pwP8LTp6CVDyrJ7oosu-KXbQDnvk8ZMqKXTuyX0QAMpEZIcDhZ4uf4$,1$Y&f8eM
"April 10, 2023","Additional Lessons, CLI, Unit3",PSQL Intro + Lab Review,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/6vmwz4W5MfjFN_g9OWHnKGEHnU_KHDb4z8_ax_WVgg9edzAChN6usssA6O8A7zm3.X6l2oG1L5ux4rFGR__;!!GgcXpDZ2N9l6uyZJ!m1YYbZ2DF9Jpf46JwVhgIoZn17uJuI6Qx0VAkFfCnBO_VuoKuwX31vYFZjjv2Rvnw8OujBpA1nNGnpN2cBTopgtbVuk$,EQH20$?X
"April 7, 2023","CLI, Computer Science Topics, Python, Unit3",Binary Search + Python OOP,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/3OP2nSXzdm3llTzrWbFYb5gak9rSWDgIFvU9KYesNGoaMWq2YuFg9cgA__AiXhDi.mxV7OtGaGYzu3GOI__;!!GgcXpDZ2N9l6uyZJ!iiKDGMC3X-pf3UgBMF89KmqNvSV6uYUErsJ2fFGDSaVxj9FqPzHEQV1jWKvfQeQ-pF4A-_Zh9RGr2NKB5D6HOlNQMdE$,jN8x21$N
"April 6, 2023","Python, Unit3",Python Functions,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/9zyfVqJxkCQKNWXRg0UsrLb85odyT17Fu3moKHK4NPLcxzpd1bCfmf39wF79vghG.RCQqo76pzuPe9NSv__;!!GgcXpDZ2N9l6uyZJ!iU6mbFBUJsRn99z1uZRfcp7PFF7xIBdtgEwCIbCiW1Gd1iA-B30wftcaWev5gqAFKfFpwNDc5QFwxevy8MVKjC5O-Rg$,J29g=.Mk
"April 5, 2023","Computer Science Topics, Python, Unit3",Merge Sort + Python Containers,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/aJKL-q35XtAtVthyKPAlaVToU_81roIuZOUWVeuFJtUgNRa22A1rLVbxy6ynRurA.tSMCR7UQbgltoST-__;!!GgcXpDZ2N9l6uyZJ!l8M99dt3d7Qv-8RwnOFQt_IG0emqDiHpquqnzzMJQr9N3n194pf-5bO94dRZHnYPu6oBak2TxD4qrdsM-cLN2U6_hXQ$,x$156Vr%
,,,,
"April 4, 2023","CLI, Python, Unit3","Intro to Python + Control Flow ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/TiRZ8bN1pv00ZygjQrTaoIqks-WGzzlOteu3XUZhquE-XduM0aqYuEaZywGENIqs.U_qAbClSNVvlXImV__;!!GgcXpDZ2N9l6uyZJ!hId-d_0CGpLIQ1JbigLb5s54d4N2D1sr68ltCYPtTg30fAXqe1c3Apb0VUAenAefeA_jyYn4TUvnrXrVadjOf6qDDNU$,N%6vHay?
"March 31, 2023","Additional Lessons, Deployment, JavaScript, Unit2",Deployment + Cloudinary Walkthrough,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/xKsoJQwBCpfzb0nTsvoLrMW9ccB4k3MtfiZk-6WdDqUB5iuQuxkz5j1DUlJ9o9OY.difHbto-Aze-kA5P__;!!GgcXpDZ2N9l6uyZJ!jqJrD8bfQO7KOPlUmn0i-gWdoCr6fLbY7DD0fds-3Xn03aUhjpjh3XeCZTHS_-aNfPDw3fe9pmNw-9VapEsSDeI-jE0$,Th64n+nM
"March 29, 2023","Additional Lessons, JavaScript, Unit2",Optional Lesson - TDD + Node,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/dMMwE1xMY2frwpqph8CZ9oCfO3WOCzU4Z7R-ccuptyU4SEL7kxefp9qPDOPKdNjn.AsIMPF_CQBR3377u__;!!GgcXpDZ2N9l6uyZJ!gg1CXJHpl6Wmc84-IkZ5kDFoUDMqeliYrohuWaTZICT2XzDmiz0jnEglsYNFOksxats2AnxoVW5g4x1vNIOIVDIZ4x8$
",95oMbH.J
"March 28, 2023","Additional Lessons, JavaScript, Unit2","OAuth Pt2 - Authorization ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/2MIrto-f0WeYV_fyhkWiuRqNa4n3dju67y0epvJeRovmhGDk2LHapBHGYrAXvO_M.MaUpqiUWDswWFN70__;!!GgcXpDZ2N9l6uyZJ!m74x4_Qd21IaGyse-L4BRGky6SI8ed1RokJQNCGSTiHD2FwoEp_D5QXUifwnoKRc-yKCOVDxgI5Ztn4bWBi2dIKe5X0$,5q.Xqo%p
"March 27, 2023","JavaScript, Unit2",OAuth Setup and Login/Logout,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/kt2pz70TLpxLOViBcANDCJNhNi_Wpp3zDmMPQsD_1hwr_CPt7z3o5tdhe8tlxFXp.peIABpVdzUWGBpz6__;!!GgcXpDZ2N9l6uyZJ!mnpeMAM56NJChkJ2wQTz96T8BUgKzyUerEQNhzywa8_UIsjt59TJKPBCx8I4t3kEW5OBKfYt5Hv6iZlHaG44EHJxTrA$,v9726&m^
"March 24, 2023","Additional Lessons, CSS, Unit2","CSS Challenge  + Code and Chill Setup  ",iqu4%M8C,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/5RuS8sRnXhyc4OGOOOOk1ZblrnulPLTaJezG9_8N_fDpUMdKV_pdcaHDZwheKhyx.WIWPExWY04Pr8K7Q__;!!GgcXpDZ2N9l6uyZJ!hIBTqIOqZE0PIvwRwfnTGcbluvOvT8Zy_h7UCkTv_ng91McpVj3k8NtPU-peZ_g0VDB8ToAt-TZLDgMpjDm6JAlH3t0$
"March 23, 2023","Computer Science Topics, HTML, JavaScript, Unit2",Reg-Ex + Promises Review / DB Seeding,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/5nPsLs7mls-vsl-QRV0sgP7ggVSsIjCJsJ5nyoBYeMwTaPWB-RZV6TfDhlSH4BE.KpLLzLMJ1aXKLiaL__;!!GgcXpDZ2N9l6uyZJ!kQqSD90CFzXB_nOJaYZBm2GAI-dwphpvnfNAlfZRs4mcnrM1GIb2MNvtMcG3VgmhM19-VbErXjaiZXYkiUE3Hy1Iu3I$,T8Q0GWw$
"March 22, 2023","CLI, Computer Science Topics, JavaScript, Unit2",Bubble Sort + Mongoose Associations,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/EEaiV8PWBL5I7D-3eOuuHyT2wwWf_Jd-QnZcx-Yf9CYGThqigaKYY3gQpfBq8YSa.RD-zj6htZ66hN6FU__;!!GgcXpDZ2N9l6uyZJ!j1DvckwyNFp-of16Dhfjv-y5ZwP7MHj-T3hmUOM2h12OCMCwCbhDRWkQ4cAaWpBlw5coDGAeVG8pIx0jjMszBsU3IIM$,z9XZ!FBc
"March 21, 2023","Computer Science Topics, HTML, JavaScript, Unit2",Intro to Sorting + Mongoose Embedded,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/k8lv32js09ap3bbwVbKKBp-qR2Hk09c0SkmqEiWjLZLapxjE8HWdke6KPlVbOvWA.3PIT0eWpHeZFUJ9z__;!!GgcXpDZ2N9l6uyZJ!kALkWAdf7D5QOBg6eAyUpojRRcB5TMRIY3Z5bOadYqVO-w9LwfFENY53G-QRrF1P-Co6E_uRfrLYdEHQ7qN2eL2TEBM$,Zty$8.FL
"March 20, 2023","CLI, CSS, HTML, JavaScript, Unit2",Intro to Mongoose,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/dk7oD0PxqSeh76uwUfJYGCmvC_isWFDWzQqyfZUmOe--MRiqm9JmB5rGosYWt4wO.C21sIrgOBVxfdOh1__;!!GgcXpDZ2N9l6uyZJ!juSkaY4TVW7zM02LJVEIrKc5UypBs3kNzSkHehutnKFf7Uj-g6ZgsDWaexEX_ETXvv52LSXOzM7XmKZtwCdBQQjgpOA$,U43HP.&2
"March 17, 2023","CLI, Computer Science Topics, JavaScript, Unit2",Recursion + Intro to Mongo + JS Promises,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/YC69uUgDeeFUA0Iait7ynBPpdkoBC1arZnGqSbsZaTixhFwBaj7I722z7pA47Bp-.MwD6I08-XS8klAoC__;!!GgcXpDZ2N9l6uyZJ!h6Z_8Y8kNnl3MtZB3rDHnmfLD7VN_Yg2FkMS2eacSOic_A9FaN7ykcNiIRA0te3FcVsveSdLRTbMhnslXQqKqrjAzUg$,@QD3!4$x
"March 16, 2023","HTML, JavaScript, Unit2",EJS Partials + Express Middleware,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/8SDS97qBwe4DzPQppmTA7yDOBBcKdUvt3p_gqAQHRmTNCLx7h7RgweZdyXIWkqf5.Uhg0xSgJcrCKdcpO__;!!GgcXpDZ2N9l6uyZJ!iN8Cyq_v_odygiznyHOZjIVvSvaC0suDl2d_uvs4jRmiFqR1t7aS9m7j0AdeoHxWN9yix3WziY4G5COVH3qvClY2-3E$,1=q=!KtA
"March 15, 2023","Computer Science Topics, JavaScript, Unit2","Big O + Express Controller Intro ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/XvYOdqAeedzy99GzpCwq9aGEqZB7JQun0MIJYm55bfMusZYsI2RjmOfRbDMJdOxX.Wu-nj2N7cLVyyImH__;!!GgcXpDZ2N9l6uyZJ!iCnzBQjpstgUS6f9cpncS38GkRlfJ7ydpgKYsMTQ6BC2NHiYHQOmkZx4Elg6ic6Druy_JmKKy9AhalBQe6JAM_XsRDI$,68rf@vkN
"March 14, 2023","CLI, JavaScript, Unit2","Intro to Node + Express ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/ev2JfR3uCvPe6Gmj68UsbCNIL1ETbRfc3GOpzmxC3VEjnYzvF4fdNfM-XQ5LQkqC.BYJQg2hC3812Dm0b__;!!GgcXpDZ2N9l6uyZJ!jZTYlE7chVR0HWJP5O6GCakuwCKFtq6CACMK1H9BZRw2Y_BT1jzb5lNV75Zp2uc3-HFzbz015Kuc75lAk5lnoU_nwiQ$,Q7j+alEM
"March 13, 2023","Project Presentations, Unit 1, Unit2","Project Group Presentations + Unit 2 Intro ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/k-6AhTjUBxC5Jvgfm_WXVT5elXZpAYBBIvCksIHQ6gqTfwqqFBPshmSXHmNl2CA7.vgyB1-F5lBnNKO7x__;!!GgcXpDZ2N9l6uyZJ!gftJeSFaF3sedB2QI8uYeLYh38Oc_CFVfq1qjs2x8CWAILbp1qdd3THY2mGgTan4g4isyUtY06rrDv3bfGcM6w3f51I$,y0*o=i!0
"March 10, 2023","Additional Lessons, Deployment, Unit 1",GH Deployment + setInterval Timer demo,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/EqgJ7GUn8ApD6OQUXPy56kUbooIVfuaYiOx7BT2ei9dAdGAUAxeA6MDgdjk4p3RC.O7jlMxVhsSvmKRku__;!!GgcXpDZ2N9l6uyZJ!h91R02n35e6BSCNis6lLQM7GzNiVtW3_TuxRpRIbfoIXDe0eLvab29V0MHi8mVlgLDnyfZLqsBrXNn2FOCDeiZwuahE$
",gq%.86N^
"March 8, 2023","Additional Lessons, CSS, Unit 1","Bootstrap Intro ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Y850Oti4uiin3fAU-daoxrTr6JdD5nqZaJZ9KgysdCkVPGeszURg_JVmk4IwMmto.zBVsCGdm0bRbXt-j__;!!GgcXpDZ2N9l6uyZJ!hjgI_zm4SpEQeXMUkz6IykCC_rLXVTnu3cgB6BtXclwhTG9DJaG0hVz8kjxxFFCtu-CXVqSI_aSj1VrBOyXGC0B1XnE$,*Abk5WLP
"March 6, 2023","Additional Lessons, CSS, HTML, JavaScript, Unit 1",Connect 4 Code Along Intro + Walkthroughs,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/qyz4LPE5fpgMW6gK6Z1cXPJqGNddEGlwX4U3Gtj5hckCkrTSTWEzkq1BJdAqubiF.gm0HbLeK629jbQ8r__;!!GgcXpDZ2N9l6uyZJ!l1Uq3weUmjPRUMKDD2OGL9pgIKaUeOCR1xIVaZmPMNf0pzwYuimJQBVR-e5fbTIz_syc-SNzYyD_yNZPmAr-OaNOqoo$,t=f7zBE1
"March 3, 2023","CLI, JavaScript, Unit 1","OOP Review + Jest / Unit Testing Intro ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Fa4FCWe3UxvbRHgzjUz1iBoUbP_WAu-hozUUHuxO_wSFNqBhH6h1bKqOS1uboXsZ.wF-UcSszutkpSFm___;!!GgcXpDZ2N9l6uyZJ!ipZgcCyF5kR-emMJmtaTDIyQikLu4AY2At8f04Xcz1nu8VYVmt8B6X1O3grWLDiQdh05e1QMafcV90LYZYLuzsEx3QQ$,.EJau3Uw
"March 2, 2023","JavaScript, Unit 1",this + JS Classes,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/AwoOAuJJ-bVnwcjdUeiSu7JIqFdD2HaqtAIAlVlD5o_YVyLaIGKe4szxnPv7N9gk.IZE90UHGiRD1AAAO__;!!GgcXpDZ2N9l6uyZJ!nxUtcV1C2zHRfvi86t6J7-Z7jmd8Elqten8Q8fxxnsIrgE7SK6mMAVdE24wgVJzR92gSvqL3NWwh6qxlm12QgXC16r8$
",kpC$1MP^
"March 1, 2023","JavaScript, Unit 1",Arrow + callback functions + Array Methods,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/A9OoOV3wQMkFUa6yHLjA4vikQXrN2-uvLcgYkE0UgzJBOrYLBuQWUE4Z_S8xHahk.XwY3z8DJ5XNkjGJb__;!!GgcXpDZ2N9l6uyZJ!hdZ7i9ouKrqF9BIy1AKvsYHRmpOmK9HvZZnmmB6JzxF6D0z0N1NmVj-qayuGPX6q21vCYCRUOTlFePsnEFgDKfgocYI$,$x6$P1uZ
"February 28, 2023","JavaScript, Unit 1",CSS Flexbox/Grid + Responsive Design,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/InM78b7EDR3rQ4ViUWETQRdkAIz35Tam1JrGmLs-RiRsuc-sfJsVzg7LnWy0uqYC.QR7zY60KOseh2TOr__;!!GgcXpDZ2N9l6uyZJ!hLgqUt7shjgZUFKg9BNtqBU_BMbhI9n7gGtcmyVUx_NJ-ct2faVDBs6ZvDPiDC_u3jSgrZ83MF-a8EEx2gYIDK3ENuU$,Eg1W%vWw
"February 27, 2023","JavaScript, Unit 1",DOM Lab Review + RPS + TTT intro,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/0J_9Z78dfoyPCPI3bh0EhjAeN-OCEXyHopdH1khDZDdi_HgJhWt1bOi0oQiNz64.ZePSWsDWyOdBt_H4__;!!GgcXpDZ2N9l6uyZJ!iAvICWgSs9b9B38I3_Xl8pFYvjRrN1anvM9kyN_w6bH6OBaawKYbfbTyE2f9w_zXSVfJhJZIH_vltO2ViErXjJ_2FJ4$
",L!7F1!S.
"February 24, 2023","JavaScript, Unit 1","Template Literals + JS DOM ",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/08Y_pC0HknyShFrS18GdbuFQs0lSbn0LarG4ORLqSA3lPWU8lopKdp0bk_qMl8Et.XN0GEWYarUss7PoC__;!!GgcXpDZ2N9l6uyZJ!g5M6vJLb3Gp9ksVslWtqst9qpzxIHWIwRuh6TLXi7I3s8AZjMFp0Wpxsn8blcM3x7gGc-lSzgQTSY-MqUIgRgQVTfFI$,xSx6QV@g
"February 23, 2023","CSS, HTML, JavaScript, Unit 1",JS Object + HTML/CSS Codealong,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/RD7UlBEfe0SGaPF-QaZvUkK-NxJhrzY72WaGuFWrEwu1CcfErjx1DqWttHq6Kr3g.jkKmCfqZMaT3irEl__;!!GgcXpDZ2N9l6uyZJ!lE5yrW0CErEVsBew5A6ZHLWrkrPf7FVA1fO0N58jmO9DIYr8KeD2WiaSimxUnX65hWmXjpCb56oJafOZp3EgWeocyD8$,nN4i2*Gu
"February 22, 2023","JavaScript, Unit 1",Git + Array Methods + JS Functions,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/tRQgDVpwuDxCupIx4AHY0MphU8CgV5b9lmwhaYZm0jonPavy14kC-JE9imluNzSq.pq7Rvvcb092om4Lq__;!!GgcXpDZ2N9l6uyZJ!hKWTm9avwQ0S_SPj_0i5s18_UbH8tkpdSqBoyfAxhwpdNdU31dJb8UhLr2hCUWX5UylLJjSPLBzTBs_GMwDVi8qQXnA$,ksR5A&3e
"February 21, 2023","CLI, JavaScript, Unit 1",GA Intro + CLI + Intro to JS,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/26b8W0nmEAKSuriDILi_r02q7D74B-psvlawD_WyV_ctZzN4pzpfdIuddzp7mOEn.UwLlvomQkes7nK0q__;!!GgcXpDZ2N9l6uyZJ!kXgFxaIQMT7hlz0c0nEPMTzygr1dN5VFCVMhsVEgPamCxwlY8MpAeKwkn61WtEHGBs5n0pOBAk1ZXXfAQg6qvF2c54o$,pPiQ!%x0
,,,,
,,,,
