Lesson,Date,Password,Recording Link,Type
Deployment + Cloudinary Walkthrough,"March 31, 2023",Th64n+nM,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/xKsoJQwBCpfzb0nTsvoLrMW9ccB4k3MtfiZk-6WdDqUB5iuQuxkz5j1DUlJ9o9OY.difHbto-Aze-kA5P__;!!GgcXpDZ2N9l6uyZJ!jqJrD8bfQO7KOPlUmn0i-gWdoCr6fLbY7DD0fds-3Xn03aUhjpjh3XeCZTHS_-aNfPDw3fe9pmNw-9VapEsSDeI-jE0$,"Additional Lessons, Deployment, JavaScript, Unit2"
this + JS Classes,"March 2, 2023",kpC$1MP^,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/AwoOAuJJ-bVnwcjdUeiSu7JIqFdD2HaqtAIAlVlD5o_YVyLaIGKe4szxnPv7N9gk.IZE90UHGiRD1AAAO__;!!GgcXpDZ2N9l6uyZJ!nxUtcV1C2zHRfvi86t6J7-Z7jmd8Elqten8Q8fxxnsIrgE7SK6mMAVdE24wgVJzR92gSvqL3NWwh6qxlm12QgXC16r8$
","JavaScript, Unit 1"
"OOP Review + Jest / Unit Testing Intro ","March 3, 2023",.EJau3Uw,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Fa4FCWe3UxvbRHgzjUz1iBoUbP_WAu-hozUUHuxO_wSFNqBhH6h1bKqOS1uboXsZ.wF-UcSszutkpSFm___;!!GgcXpDZ2N9l6uyZJ!ipZgcCyF5kR-emMJmtaTDIyQikLu4AY2At8f04Xcz1nu8VYVmt8B6X1O3grWLDiQdh05e1QMafcV90LYZYLuzsEx3QQ$,"CLI, JavaScript, Unit 1"
,,,,
Binary Search + Python OOP,"April 7, 2023",jN8x21$N,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/3OP2nSXzdm3llTzrWbFYb5gak9rSWDgIFvU9KYesNGoaMWq2YuFg9cgA__AiXhDi.mxV7OtGaGYzu3GOI__;!!GgcXpDZ2N9l6uyZJ!iiKDGMC3X-pf3UgBMF89KmqNvSV6uYUErsJ2fFGDSaVxj9FqPzHEQV1jWKvfQeQ-pF4A-_Zh9RGr2NKB5D6HOlNQMdE$,"CLI, Computer Science Topics, Python, Unit3"
"Intro to Node + Express ","March 14, 2023",Q7j+alEM,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/ev2JfR3uCvPe6Gmj68UsbCNIL1ETbRfc3GOpzmxC3VEjnYzvF4fdNfM-XQ5LQkqC.BYJQg2hC3812Dm0b__;!!GgcXpDZ2N9l6uyZJ!jZTYlE7chVR0HWJP5O6GCakuwCKFtq6CACMK1H9BZRw2Y_BT1jzb5lNV75Zp2uc3-HFzbz015Kuc75lAk5lnoU_nwiQ$,"CLI, JavaScript, Unit2"
"Big O + Express Controller Intro ","March 15, 2023",68rf@vkN,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/XvYOdqAeedzy99GzpCwq9aGEqZB7JQun0MIJYm55bfMusZYsI2RjmOfRbDMJdOxX.Wu-nj2N7cLVyyImH__;!!GgcXpDZ2N9l6uyZJ!iCnzBQjpstgUS6f9cpncS38GkRlfJ7ydpgKYsMTQ6BC2NHiYHQOmkZx4Elg6ic6Druy_JmKKy9AhalBQe6JAM_XsRDI$,"Computer Science Topics, JavaScript, Unit2"
Arrow + callback functions + Array Methods,"March 1, 2023",$x6$P1uZ,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/A9OoOV3wQMkFUa6yHLjA4vikQXrN2-uvLcgYkE0UgzJBOrYLBuQWUE4Z_S8xHahk.XwY3z8DJ5XNkjGJb__;!!GgcXpDZ2N9l6uyZJ!hdZ7i9ouKrqF9BIy1AKvsYHRmpOmK9HvZZnmmB6JzxF6D0z0N1NmVj-qayuGPX6q21vCYCRUOTlFePsnEFgDKfgocYI$,"JavaScript, Unit 1"
EJS Partials + Express Middleware,"March 16, 2023",1=q=!KtA,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/8SDS97qBwe4DzPQppmTA7yDOBBcKdUvt3p_gqAQHRmTNCLx7h7RgweZdyXIWkqf5.Uhg0xSgJcrCKdcpO__;!!GgcXpDZ2N9l6uyZJ!iN8Cyq_v_odygiznyHOZjIVvSvaC0suDl2d_uvs4jRmiFqR1t7aS9m7j0AdeoHxWN9yix3WziY4G5COVH3qvClY2-3E$,"HTML, JavaScript, Unit2"
Bubble Sort + Mongoose Associations,"March 22, 2023",z9XZ!FBc,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/EEaiV8PWBL5I7D-3eOuuHyT2wwWf_Jd-QnZcx-Yf9CYGThqigaKYY3gQpfBq8YSa.RD-zj6htZ66hN6FU__;!!GgcXpDZ2N9l6uyZJ!j1DvckwyNFp-of16Dhfjv-y5ZwP7MHj-T3hmUOM2h12OCMCwCbhDRWkQ4cAaWpBlw5coDGAeVG8pIx0jjMszBsU3IIM$,"CLI, Computer Science Topics, JavaScript, Unit2"
CSS Flexbox/Grid + Responsive Design,"February 28, 2023",Eg1W%vWw,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/InM78b7EDR3rQ4ViUWETQRdkAIz35Tam1JrGmLs-RiRsuc-sfJsVzg7LnWy0uqYC.QR7zY60KOseh2TOr__;!!GgcXpDZ2N9l6uyZJ!hLgqUt7shjgZUFKg9BNtqBU_BMbhI9n7gGtcmyVUx_NJ-ct2faVDBs6ZvDPiDC_u3jSgrZ83MF-a8EEx2gYIDK3ENuU$,"JavaScript, Unit 1"
React Intro + Components,"April 25, 2023",m!24geUk,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/27uW-Bu8LltG-WYNz2tOvJqswI8Oy6FOK_HMI6TBhsn7lJIsDPrx2IDqBfTgZ3FD.a_CJHwAT67vJsc3f__;!!GgcXpDZ2N9l6uyZJ!h-sfN7bdN943I6UFESMsr6EJVA9N41tkRFR8K3zU60_CJbAo4RHBSEa8AkPIOz1EmBb1atuDBghRBvsu5hZ_X_fGBy8$,"CLI, CSS, HTML, JavaScript, Unit4"
JS Object + HTML/CSS Codealong,"February 23, 2023",nN4i2*Gu,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/RD7UlBEfe0SGaPF-QaZvUkK-NxJhrzY72WaGuFWrEwu1CcfErjx1DqWttHq6Kr3g.jkKmCfqZMaT3irEl__;!!GgcXpDZ2N9l6uyZJ!lE5yrW0CErEVsBew5A6ZHLWrkrPf7FVA1fO0N58jmO9DIYr8KeD2WiaSimxUnX65hWmXjpCb56oJafOZp3EgWeocyD8$,"CSS, HTML, JavaScript, Unit 1"
React Props + Dashboard Refactor,"April 26, 2023",7Yg2cHB%,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/3FC87O0ZJFSQdLcnnSeLNofXn6DEhUNBmf_AtM_M8sNkZ9UPXVgMMkwYT0RtqHKW.gea_upM-nhMHzATX__;!!GgcXpDZ2N9l6uyZJ!m93ZraE8r48_uGjhrLqNj9SQsG87de6JHwxUVMdGZdKwVdjOvXv_gFoajRHxSWBmDFh2S1OjRXiAc8SO1AXGJUA85xM$,"CSS, HTML, JavaScript, Unit4"
Linked List Intro + Django M:N,"April 14, 2023",az?Qbm5^,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/1VI-S6I97mpDQR8fValY4Wtrz0AKd-Zcw8W5twZbY6QLD-nMU64FJLBZ2NLHlZH5.JwLL4AbkKxQWAV5o__;!!GgcXpDZ2N9l6uyZJ!nVkaSGjhNVK9UeJL6t7jmSjigfDE3l2h2aIlLUmHlJND1l428VO0kyBsbtxfp_3rnB1Fsy9PMyPkDqKhNCt7eHWRCLM$,"CLI, Computer Science Topics, Python, Unit3"
Merge Sort + Python Containers,"April 5, 2023",x$156Vr%,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/aJKL-q35XtAtVthyKPAlaVToU_81roIuZOUWVeuFJtUgNRa22A1rLVbxy6ynRurA.tSMCR7UQbgltoST-__;!!GgcXpDZ2N9l6uyZJ!l8M99dt3d7Qv-8RwnOFQt_IG0emqDiHpquqnzzMJQr9N3n194pf-5bO94dRZHnYPu6oBak2TxD4qrdsM-cLN2U6_hXQ$,"Computer Science Topics, Python, Unit3"
Intro to Sorting + Mongoose Embedded,"March 21, 2023",Zty$8.FL,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/k8lv32js09ap3bbwVbKKBp-qR2Hk09c0SkmqEiWjLZLapxjE8HWdke6KPlVbOvWA.3PIT0eWpHeZFUJ9z__;!!GgcXpDZ2N9l6uyZJ!kALkWAdf7D5QOBg6eAyUpojRRcB5TMRIY3Z5bOadYqVO-w9LwfFENY53G-QRrF1P-Co6E_uRfrLYdEHQ7qN2eL2TEBM$,"Computer Science Topics, HTML, JavaScript, Unit2"
,,,,
"FE Challenge + Django Models ","April 12, 2023",R?UKNk3C,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/QbGR_dHGr8HFMMMiQTrL8SnThbiqv-F-7_yUa7jjxPZ0e4HXvsHyqwiY3iB5qiFW.t8BvU7TCVKghjFOk__;!!GgcXpDZ2N9l6uyZJ!jZ0xB0EDpMKDdjUt4lAnUb0lyEFD9hR7SjU8oHHAkDV6gb6JBBrck5J77p-ZS0CFagzh1lYxwkwBCL_caZKbwIAXI-c$,"CSS, Python, Unit3"
Final Presentations,"May 15, 2023",0$NW7X3%,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/XX3FtTO3XpwjwOmpXKXegmHFqXzp9pgrzl5xkUuZd2Kc4BSVZY6QxJzEDXbwzMcJ.fTw9zWEuCdXl-8W5__;!!GgcXpDZ2N9l6uyZJ!lxeogUaNkSRTIaMU0d1oJsaLTO4Irzt0G1kr9Zmi9UL3lX4cTTWCJA-w9Qf_Qrk5MulpmgLiYfDiDYuutbmcx8PgTio$,"Project Presentations, Unit4"
Git + Array Methods + JS Functions,"February 22, 2023",ksR5A&3e,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/tRQgDVpwuDxCupIx4AHY0MphU8CgV5b9lmwhaYZm0jonPavy14kC-JE9imluNzSq.pq7Rvvcb092om4Lq__;!!GgcXpDZ2N9l6uyZJ!hKWTm9avwQ0S_SPj_0i5s18_UbH8tkpdSqBoyfAxhwpdNdU31dJb8UhLr2hCUWX5UylLJjSPLBzTBs_GMwDVi8qQXnA$,"JavaScript, Unit 1"
DOM Lab Review + RPS + TTT intro,"February 27, 2023",L!7F1!S.,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/0J_9Z78dfoyPCPI3bh0EhjAeN-OCEXyHopdH1khDZDdi_HgJhWt1bOi0oQiNz64.ZePSWsDWyOdBt_H4__;!!GgcXpDZ2N9l6uyZJ!iAvICWgSs9b9B38I3_Xl8pFYvjRrN1anvM9kyN_w6bH6OBaawKYbfbTyE2f9w_zXSVfJhJZIH_vltO2ViErXjJ_2FJ4$
","JavaScript, Unit 1"
"MERN Intro + Express API + Deployment ","May 2, 2023",7#LpvKTL,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Hk2grFuWik-eUXyyd0AmO3NzT_z9pFLre6z6IV1QXn1KreYNKZJTJKVZNHXrKWLC.1HwpxwLu-bsOBARb__;!!GgcXpDZ2N9l6uyZJ!nF1y7xS2cH2tJaXzEPELrZzbsFMJEL-eKHXlx0z4tq6iTRlHYddPcFQTGmoXOapzmkCUKA1PBgumpgKoihzXlEg6Gow$,"CLI, Deployment, JavaScript, Unit4"
Optional Lesson - TDD + Node,"March 29, 2023",95oMbH.J,"https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/dMMwE1xMY2frwpqph8CZ9oCfO3WOCzU4Z7R-ccuptyU4SEL7kxefp9qPDOPKdNjn.AsIMPF_CQBR3377u__;!!GgcXpDZ2N9l6uyZJ!gg1CXJHpl6Wmc84-IkZ5kDFoUDMqeliYrohuWaTZICT2XzDmiz0jnEglsYNFOksxats2AnxoVW5g4x1vNIOIVDIZ4x8$
","Additional Lessons, JavaScript, Unit2"
,,,,
Hash Maps + React Events,"April 28, 2023",L&#YS347,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/mAn5XO1l4kUcosMsdSfR6Rlk2NkxgHdl_wlVHyPgP2lBJXyjq7A7xPNCrtG5D_eL.nOIEmUntpMuoUOOB__;!!GgcXpDZ2N9l6uyZJ!g2LPdSwq1KIBmL79lcrhFJjVozwIhkWl8Be2yeMT02KUZQpPO5i0x7OClJprRFggPY3AYWubHo91emlHHhGU62EDszo$,"CSS, Computer Science Topics, HTML, JavaScript, Unit4"
Django CBV + 1:M model associations,"April 13, 2023",?2B+XfS7,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/GtzCP7zmlLcXJ4p09oY4W4xz-Hloo8iDloSSbD10rgo74ko-XvE1Fmq1SYpvg32T.jyiBJMt5ilOQm11T__;!!GgcXpDZ2N9l6uyZJ!h7qWl4kbBBe_RuWjTj_4EQQB36RLAXbc3NI_JiyhmEJGzDviKQ2d9aQwZkpH3U9bDQDUp_OwxFtcCONxiMBC1-_Ulho$,"CLI, Python, Unit3"
Recursion + Intro to Mongo + JS Promises,"March 17, 2023",@QD3!4$x,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/YC69uUgDeeFUA0Iait7ynBPpdkoBC1arZnGqSbsZaTixhFwBaj7I722z7pA47Bp-.MwD6I08-XS8klAoC__;!!GgcXpDZ2N9l6uyZJ!h6Z_8Y8kNnl3MtZB3rDHnmfLD7VN_Yg2FkMS2eacSOic_A9FaN7ykcNiIRA0te3FcVsveSdLRTbMhnslXQqKqrjAzUg$,"CLI, Computer Science Topics, JavaScript, Unit2"
Connect 4 Code Along Intro + Walkthroughs,"March 6, 2023",t=f7zBE1,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/qyz4LPE5fpgMW6gK6Z1cXPJqGNddEGlwX4U3Gtj5hckCkrTSTWEzkq1BJdAqubiF.gm0HbLeK629jbQ8r__;!!GgcXpDZ2N9l6uyZJ!l1Uq3weUmjPRUMKDD2OGL9pgIKaUeOCR1xIVaZmPMNf0pzwYuimJQBVR-e5fbTIz_syc-SNzYyD_yNZPmAr-OaNOqoo$,"Additional Lessons, CSS, HTML, JavaScript, Unit 1"
"Intro to Python + Control Flow ","April 4, 2023",N%6vHay?,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/TiRZ8bN1pv00ZygjQrTaoIqks-WGzzlOteu3XUZhquE-XduM0aqYuEaZywGENIqs.U_qAbClSNVvlXImV__;!!GgcXpDZ2N9l6uyZJ!hId-d_0CGpLIQ1JbigLb5s54d4N2D1sr68ltCYPtTg30fAXqe1c3Apb0VUAenAefeA_jyYn4TUvnrXrVadjOf6qDDNU$,"CLI, Python, Unit3"
Stacks + Queues / Django Intro,"April 11, 2023",1$Y&f8eM,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/xu3UrU2sxznJXrvuSgh57nbxLnq_jRK53OAeMS7bz5mQ_MQsGeL-JAvnl1VUZ31H.rD8DvpnB-qe4muFS__;!!GgcXpDZ2N9l6uyZJ!igzu7zZ85sVrAFuEouJXSD6u5FGDKezEtUgW-pwP8LTp6CVDyrJ7oosu-KXbQDnvk8ZMqKXTuyX0QAMpEZIcDhZ4uf4$,"Computer Science Topics, Python, Unit3"
Linked Lists + Django AWS / Authentication,"April 17, 2023",82=0HLvi,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/l3qtMkxNIUGeTTzDWTMt7E_4fiLl-7hfbxz3fepJ8eVZRdlJktg2Im6M0cOpJTd9.gbo1iHPF6jH_E2mU__;!!GgcXpDZ2N9l6uyZJ!nT_Kgm5CdXKLVCcfUuBEo2TZZ2XFZLJphqxvEGzLLo_X7cssagC8bvB4dq3CBzbR0Dwzdyh2ZOG_vo0ryAkVvOYeNL4$,"Additional Lessons, Computer Science Topics, Python, Unit2"
Tailwind Demo + MERN JWT Auth,"May 5, 2023",7rWYug#J,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/MZ9XJiERPVBOBJ-ClRnMWqmyaaCoAaSp0e1zb-QjXR4w7Ng7SWbuUjNEmD8fNJTj.ku_qOejWupkDijA8__;!!GgcXpDZ2N9l6uyZJ!kDIzxKrttq8-QE8fOAZI88Uo9Qtlcx5yYLtW443wFoHld_i3mltNxRRoZvddSIqJqJd6lOY49cEIC3Lfb7-8kokWc5c$,"CSS, JavaScript, Unit4"
React Review + React Router  + Netlify Deployment,"May 1, 2023",2&+rusea,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/izG_rbEnOuxnv_zIB_ZVSZ5E1rQyMb40HZ1n18629aH0Q9TdR-7-Ehdt---P0pT7.SYuxBVMogaiwCOCj__;!!GgcXpDZ2N9l6uyZJ!nG8HlipDYzOVS2FfNkvdqJu7gNxT6AcVCtUGet-7SquhYgmqFz6_tm0M3TbtePlHz14_ATRWYW6-Zv_P2iBEoHwY1bI$,"Additional Lessons, Deployment, JavaScript, Unit4"
Unit 3 Django Presentations,"April 25, 2023",p=06o1^G,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/TSd5JwuUYeoJ4nLhsp5U8DRZo4CUoBjaC_RgAAN5rUWRSXEBNOBtFHHPV2vFQ13k.Hg6-oUlgLeI3x3lI__;!!GgcXpDZ2N9l6uyZJ!iowX3nor6L-DpYzvf99pW6mIzdlDN5TiYQr9StGRiq-_bTOsdpRueoxy8jeC3R15N1cO6sowhkhb5v3o0o3wdEpPYkY$,"Project Presentations, Unit3"
"Template Literals + JS DOM ","February 24, 2023",xSx6QV@g,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/08Y_pC0HknyShFrS18GdbuFQs0lSbn0LarG4ORLqSA3lPWU8lopKdp0bk_qMl8Et.XN0GEWYarUss7PoC__;!!GgcXpDZ2N9l6uyZJ!g5M6vJLb3Gp9ksVslWtqst9qpzxIHWIwRuh6TLXi7I3s8AZjMFp0Wpxsn8blcM3x7gGc-lSzgQTSY-MqUIgRgQVTfFI$,"JavaScript, Unit 1"
GA Intro + CLI + Intro to JS,"February 21, 2023",pPiQ!%x0,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/26b8W0nmEAKSuriDILi_r02q7D74B-psvlawD_WyV_ctZzN4pzpfdIuddzp7mOEn.UwLlvomQkes7nK0q__;!!GgcXpDZ2N9l6uyZJ!kXgFxaIQMT7hlz0c0nEPMTzygr1dN5VFCVMhsVEgPamCxwlY8MpAeKwkn61WtEHGBs5n0pOBAk1ZXXfAQg6qvF2c54o$,"CLI, JavaScript, Unit 1"
Intro to Mongoose,"March 20, 2023",U43HP.&2,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/dk7oD0PxqSeh76uwUfJYGCmvC_isWFDWzQqyfZUmOe--MRiqm9JmB5rGosYWt4wO.C21sIrgOBVxfdOh1__;!!GgcXpDZ2N9l6uyZJ!juSkaY4TVW7zM02LJVEIrKc5UypBs3kNzSkHehutnKFf7Uj-g6ZgsDWaexEX_ETXvv52LSXOzM7XmKZtwCdBQQjgpOA$,"CLI, CSS, HTML, JavaScript, Unit2"
PSQL Intro + Lab Review,"April 10, 2023",EQH20$?X,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/6vmwz4W5MfjFN_g9OWHnKGEHnU_KHDb4z8_ax_WVgg9edzAChN6usssA6O8A7zm3.X6l2oG1L5ux4rFGR__;!!GgcXpDZ2N9l6uyZJ!m1YYbZ2DF9Jpf46JwVhgIoZn17uJuI6Qx0VAkFfCnBO_VuoKuwX31vYFZjjv2Rvnw8OujBpA1nNGnpN2cBTopgtbVuk$,"Additional Lessons, CLI, Unit3"
MERN Show / Delete / Update,"May 4, 2023",3b$h=@Dy,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/UqSboIR3YcobvI4Lu1IUDoTkzRjjt0HaWBAh0wPhmrj_gVPSGipBbudDvJzsPXZ_.5kUr875CYgGqn1jJ__;!!GgcXpDZ2N9l6uyZJ!kNhczU-h3UwEm1UwfVpfb5Z2NvRK53qbSg8dMdfV_Sobn-QY5pjfbm_bbxmIH4StUhjRW_RvuDvULYsT238417DTvOA$,"CSS, JavaScript, Unit4"
"OAuth Pt2 - Authorization ","March 28, 2023",5q.Xqo%p,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/2MIrto-f0WeYV_fyhkWiuRqNa4n3dju67y0epvJeRovmhGDk2LHapBHGYrAXvO_M.MaUpqiUWDswWFN70__;!!GgcXpDZ2N9l6uyZJ!m74x4_Qd21IaGyse-L4BRGky6SI8ed1RokJQNCGSTiHD2FwoEp_D5QXUifwnoKRc-yKCOVDxgI5Ztn4bWBi2dIKe5X0$,"Additional Lessons, JavaScript, Unit2"
"Bootstrap Intro ","March 8, 2023",*Abk5WLP,https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/Y850Oti4uiin3fAU-daoxrTr6JdD5nqZaJZ9KgysdCkVPGeszURg_JVmk4IwMmto.zBVsCGdm0bRbXt-j__;!!GgcXpDZ2N9l6uyZJ!hjgI_zm4SpEQeXMUkz6IykCC_rLXVTnu3cgB6BtXclwhTG9DJaG0hVz8kjxxFFCtu-CXVqSI_aSj1VrBOyXGC0B1XnE$,"Additional Lessons, CSS, Unit 1"
"CSS Challenge  + Code and Chill Setup  ","March 24, 2023",https://urldefense.com/v3/__https://generalassembly.zoom.us/rec/share/5RuS8sRnXhyc4OGOOOOk1ZblrnulPLTaJezG9_8N_fDpUMdKV_pdcaHDZwheKhyx.WIWPExWY04Pr8K7Q__;!!GgcXpDZ2N9l6uyZJ!hIBTqIOqZE0PIvwRwfnTGcbluvOvT8Zy_h7UCkTv_ng91McpVj3k8NtPU-peZ_g0VDB8ToAt-TZLDgMpjDm6JAlH3t0$,iqu4%M8C,"Additional Lessons, CSS, Unit2"
